"labels","frequency"
"Mexico","18526"
"Argentina","4410"
"Caribbean","6471"
"Chile","1127"
"Italy","81"
"Taiwan","405"
"Honduras","3216"
"China","25828"
"South Africa","1850"
"Colombia","6651"
"Bouvet","1"
"Indonesia","244"
"United States","51690"
"Angola","147"
"Guatemala","7809"
"Uruguay","807"
"Hawaiian Isl","107"
"Uganda","262"
"Mauritius","117"
"Spain","242"
"Bolivia","4223"
"Paraguay","1199"
"Madagascar","1569"
"Namibia","93"
"Benin","19"
"Malaysia","343"
"Belgium","36"
"Philippines","750"
"Venezuela","12899"
"Nicaragua","1852"
"Socotra","25"
"Finland","39"
"Egypt","74"
"Vietnam","1024"
"Laos","431"
"French S. Indian Ocean Isl","1"
"Central African Republic","94"
"Iran","96"
"Burundi","67"
"Portugal","81"
"Syria","47"
"South Korea","627"
"Sweden","61"
"New Zealand","419"
"India","2081"
"Sabah","33"
"St. Helena","14"
"Republic of Georgia","8"
"Principe","8"
"Slovakia","3"
"El Salvador","1854"
"Sardegna","9"
"Costa Rica","3793"
"Greece","46"
"French Guiana","1098"
"Brunei","2"
"Brazil","8240"
"Cameroon","227"
"Libya","14"
"Djibouti","17"
"Suriname","1116"
"Malawi","168"
"Thailand","901"
"Afghanistan","261"
"Ireland","17"
"Yugoslavia","35"
"Peru","6266"
"Pitcairn Isl","1"
"Nigeria","84"
"Sri Lanka","429"
"Tanzania","454"
"Luxembourg","5"
"Turkmenistan","160"
"Society Isl","23"
"Iraq","100"
"Australia","1123"
"Papua New Guinea","176"
"Liechtenstin","1"
"Antarctica","2"
"Ascension","13"
"Comoros","100"
"Panama","6355"
"Equatorial Guinea","50"
"Russian Federation","1194"
"New Caledonia","47"
"Gambia","14"
"Tunisia","17"
"Rwanda","124"
"Bismarck Archipelago","1"
"Democratic Republic of the Congo","129"
"Zimbabwe","176"
"Congo (Brazzaville)","53"
"Kalimantan","6"
"Moluccas","24"
"Norway","63"
"Aleutian Isl","1"
"Japan","1697"
"Uzbekistan","180"
"Germany","87"
"Iceland","16"
"Pakistan","402"
"Canada","8217"
"Borneo","78"
"Moldova","1"
"Nepal","720"
"Marcus Isl","1"
"Kuwait","4"
"Kerguelen","2"
"Slovenia","1"
"Azores","17"
"Burkina Faso","13"
"Algeria","41"
"Lord Howe Isl","6"
"Ecuador","9938"
"Hungary","42"
"Czechoslovakia","33"
"Belize","1645"
"Cyprus","5"
"New Guinea","134"
"Switzerland","60"
"Norfolk Isl","5"
"Israel","19"
"Macquarie Isl","2"
"Macedonia","1"
"Sierra Leone","89"
"Guyana","1269"
"Morocco","36"
"Sulawesi","29"
"Canary Islands","39"
"Turkey","302"
"Seychelles","58"
"Belarus","5"
"Qatar","2"
"Sao Tome","19"
"Botswana","41"
"Romania","38"
"Falkland Isl","4"
"France","146"
"Jordan","12"
"Mauritania","17"
"Cabinda","10"
"Baleares","11"
"Sudan","123"
"United Kingdom","91"
"Austria","63"
"Lithuania","3"
"Sarawak","8"
"Cook Isl","1"
"Mongolia","682"
"Western Samoa","2"
"Java","87"
"Chagos Archipelago","6"
"Liberia","51"
"United Arab Emirates","1"
"Kriti","9"
"Faeroe Isl.","7"
"Togo","47"
"São Tomé and Príncipe","14"
"Mozambique","124"
"American Samoa","6"
"Congo (Kinshasa)","4"
"Oman","2"
"Eritrea","14"
"Tonga","4"
"Saudi Arabia","28"
"Burma","818"
"Zambia","138"
"Svalbard","9"
"Ukraine","13"
"Marion-Prince Edward Isl","4"
"Czech Republic","8"
"Guinea-Bissau","20"
"South Georgia","13"
"Bhutan","619"
"Vanuatu","3"
"Cocos Isl","2"
"Serbia","1"
"Midway Isl","1"
"Tuamotu Isl","3"
"Easter Island","10"
"Azerbaijan","4"
"Assam","10"
"Lesser Sunda Isl","19"
"Phoenix Isl","2"
"Northern Marianas","14"
"Zaire","126"
"Guam","18"
"Ghana","89"
"Bioko","65"
"Cape Verde","44"
"Malta","8"
"Denmark","30"
"Marquesas","5"
"Madeira","24"
"Bahrain","1"
"Bangladesh","147"
"Sicilia","18"
"Corsica","21"
"Juan Fernandez Isl","11"
"Lesotho","83"
"Guinea","94"
"Tristan da Cunha","7"
"Howland-Baker Isl","1"
"Ethiopia","320"
"Armenia","4"
"Bulgaria","27"
"Estonia","1"
"Heard-McDonald Isl","1"
"Kenya","290"
"South Yemen","2"
"Cambodia","289"
"Kyrgyzstan","244"
"Senegal","70"
"Fiji","26"
"Albania","16"
"Gilbert Isl","4"
"Chad","56"
"Selvagens","2"
"Singapore","29"
"Micronesia Federated States","21"
"Niger","18"
"Aldabra","6"
"Marshall Isl","7"
"Kazakhstan","690"
"Swaziland","58"
"North Korea","175"
"Greenland","380"
"Tubuai Isl","1"
"Poland","28"
"Reunion","138"
"Netherlands","34"
"Rodrigues","12"
"Ivory Coast","79"
"Mali","35"
"Yemen","16"
"Somalia","47"
"Solomon Isl","15"
"Gabon","473"
"Mascarene Islands","2"
"Maldives","5"
"Tajikistan","212"
"Irian Jaya","11"
"Andaman Isl","11"
"Latvia","1"
"Lebanon","7"
"Sumatra","43"
"Palau","10"
